id,name,state,summit,vertical_drop,base,trams,fast_eights,fast_sixes,fast_quads,quad,triple,double,surface,total,runs,terrain_parks,longest_run,skiable_terrain,snow_making,days_open_last_year,projected_days_open,night_skiing,mi_night_skiing,mi_pistes,mi_snow_making,years_open,average_snowfall,url
93,Otis Ridge Ski Area,maryland,1700,400,1300,0,0,0,0,0,0,1,3,4,11,1,1,60,55,106,106,1,35,,,73,70,http://www.onthesnow.com/massachusetts/otis-ridge-ski-area/ski-resort.html
94,Ski Butternut,maryland,1800,1000,800,0,0,0,0,3,1,1,6,11,22,2,1.5,110,110,107,110,0,,,14,56,115,http://www.onthesnow.com/massachusetts/ski-butternut/ski-resort.html
95,Ski Ward,maryland,420,210,210,0,0,0,0,0,1,0,3,4,11,1,0.2,45,45,105,120,1,38,,,50,80,http://www.onthesnow.com/massachusetts/ski-ward/ski-resort.html
96,Wachusett Mountain Ski Area,maryland,2006,1000,1006,0,0,0,3,0,1,0,4,8,27,2,1.5,112,112,,120,1,104,5.8,,57,100,http://www.onthesnow.com/massachusetts/wachusett-mountain-ski-area/ski-resort.html
97,Alpine Valley Ski Area,michigan,500,240,126,0,0,0,0,1,2,5,6,14,25,3,0.2,100,100,,128,1,100,,,57,20,http://www.onthesnow.com/michigan/alpine-valley-ski-area/ski-resort.html
98,Apple Mountain,michigan,820,220,600,0,0,0,0,1,0,0,5,6,12,0,,80,42,,75,1,80,,,58,52,http://www.onthesnow.com/michigan/apple-mountain/ski-resort.html
99,Big Powderhorn Mountain,michigan,1800,600,1200,0,0,0,0,0,0,9,1,10,45,2,1,253,228,100,108,0,,,,55,214,http://www.onthesnow.com/michigan/big-powderhorn-mountain/ski-resort.html
100,Bittersweet Ski Area,michigan,850,350,450,0,0,0,0,1,7,0,4,12,20,2,0.2,100,100,80,,1,100,,,36,90,http://www.onthesnow.com/michigan/bittersweet-ski-area/ski-resort.html
101,Big Snow Resort - Blackjack,michigan,850,465,385,0,0,0,0,0,0,4,2,6,26,2,1,170,86,95,115,0,,,,42,210,http://www.onthesnow.com/michigan/blackjack-ski-resort/ski-resort.html
102,Boyne Highlands,michigan,1290,552,745,0,0,0,1,3,4,0,2,10,55,4,1.2,435,400,97,120,1,150,,,56,140,http://www.onthesnow.com/michigan/boyne-highlands/ski-resort.html
103,Boyne Mountain Resort,michigan,1120,500,620,0,0,1,0,4,3,2,2,12,60,7,1,415,380,122,130,1,200,,,71,140,http://www.onthesnow.com/michigan/boyne-mountain-resort/ski-resort.html
104,Caberfae Peaks,michigan,1569,485,1060,0,0,0,0,1,2,1,1,5,34,2,1.2,200,200,118,130,1,150,,,82,140,http://www.onthesnow.com/michigan/caberfae-peaks-ski-golf-resort/ski-resort.html
105,Cannonsburg,michigan,1100,250,850,0,0,0,0,1,1,1,7,10,21,5,0.1,100,0,100,100,0,,,,54,100,http://www.onthesnow.com/michigan/cannonsburg/ski-resort.html
106,Crystal Mountain,michigan,1132,375,757,0,0,0,1,3,2,0,2,8,58,3,0.3,102,96,120,135,1,56,56.5,,63,132,http://www.onthesnow.com/michigan/crystal-mountain/ski-resort.html
107,Big Snow Resort - Indianhead Mountain,michigan,1935,638,1297,0,0,0,0,1,1,5,2,9,32,2,1,240,150,120,120,0,,,,60,204,http://www.onthesnow.com/michigan/indianhead-mountain/ski-resort.html
108,Marquette Mountain,michigan,1357,600,757,0,0,0,0,0,1,2,1,4,35,3,0.7,169,143,139,135,1,89,,,60,210,http://www.onthesnow.com/michigan/marquette-mountain/ski-resort.html
109,Mont Ripley,michigan,1140,440,700,0,0,0,0,0,0,2,2,4,25,2,0.8,112,112,114,100,1,100,,,83,275,http://www.onthesnow.com/michigan/mont-ripley/ski-resort.html
110,Mount Bohemia,michigan,1500,900,600,0,0,0,0,0,1,1,0,2,102,0,2.3,585,0,83,100,0,,,,19,273,http://www.onthesnow.com/michigan/mount-bohemia/ski-resort.html
111,Mt. Brighton,michigan,1330,230,1100,0,0,0,0,2,3,0,8,13,25,5,0.1,130,130,111,100,1,130,,,59,60,http://www.onthesnow.com/michigan/mount-brighton/ski-resort.html
112,Mt. Holiday Ski Area,michigan,440,200,240,0,0,0,0,0,0,2,2,4,12,0,0.1,45,45,100,90,1,45,,,70,120,http://www.onthesnow.com/michigan/mount-holiday-ski-area/ski-resort.html
113,Mount Holly,michigan,1105,350,755,0,0,0,1,2,3,1,6,13,19,0,0.1,100,100,,102,1,100,,,63,42,http://www.onthesnow.com/michigan/mount-holly/ski-resort.html
114,Mulligan's Hollow Ski Bowl,michigan,700,130,570,0,0,0,0,0,0,0,5,5,6,0,0.2,10,10,,92,1,10,,,19,60,http://www.onthesnow.com/michigan/mulligans-hollow-ski-bowl/ski-resort.html
115,Norway Mountain,michigan,1335,500,835,0,0,0,0,0,1,2,3,6,17,1,1.4,186,186,110,110,1,40,,,45,100,http://www.onthesnow.com/michigan/norway-mountain/ski-resort.html
116,Nubs Nob Ski Area,michigan,1338,427,911,0,0,0,0,3,4,2,1,10,53,3,0.9,248,248,133,130,1,160,,,61,135,http://www.onthesnow.com/michigan/nubs-nob-ski-area/ski-resort.html
117,Pine Knob Ski Resort,michigan,1308,300,1009,0,0,0,0,0,0,0,6,6,14,3,1,80,80,,128,0,,,,,,http://www.onthesnow.com/michigan/pine-knob-ski-resort/ski-resort.html
118,Pine Mountain,michigan,1650,500,1150,0,0,0,0,0,1,2,1,4,28,1,0.5,160,160,110,126,1,80,,,80,60,http://www.onthesnow.com/michigan/pine-mountain/ski-resort.html
119,Schuss Mountain at Shanty Creek,michigan,1125,450,675,0,0,0,0,5,0,0,3,8,42,3,1,70,70,94,111,1,70,,,57,160,http://www.onthesnow.com/michigan/shanty-creek/ski-resort.html
120,Ski Brule,michigan,1860,500,1360,0,0,0,0,0,0,5,7,12,17,3,1,150,150,164,165,1,40,,,62,150,http://www.onthesnow.com/michigan/ski-brule/ski-resort.html
121,Snow Snake Mountain Ski Area,michigan,1230,210,1020,0,0,0,0,0,1,0,5,6,12,2,0,40,40,,106,1,40,,,72,,http://www.onthesnow.com/michigan/snow-snake-mountain-ski-area/ski-resort.html
122,Swiss Valley,michigan,1200,225,975,0,0,0,0,2,1,0,4,7,11,2,0.1,60,60,89,80,1,60,,,51,60,http://www.onthesnow.com/michigan/swiss-valley/ski-resort.html
123,The Homestead,michigan,900,320,580,0,0,0,0,0,2,1,2,5,15,1,0.2,16,16,47,42,1,16,,,34,150,http://www.onthesnow.com/michigan/the-homestead/ski-resort.html
124,Timber Ridge,michigan,850,250,600,0,0,0,0,1,1,2,4,8,16,2,0.3,50,50,80,,1,50,,,58,,http://www.onthesnow.com/michigan/timber-ridge/ski-resort.html
125,Treetops Resort,michigan,1345,225,1120,0,0,0,0,0,3,0,2,5,23,3,0.2,80,80,63,101,1,80,,,65,175,http://www.onthesnow.com/michigan/treetops-resort/ski-resort.html
126,Afton Alps,minnesota,1530,350,1180,0,0,0,0,1,3,14,4,22,48,5,0.5,250,250,135,135,1,250,,,56,60,http://www.onthesnow.com/minnesota/afton-alps/ski-resort.html
127,Andes Tower Hills Ski Area,minnesota,1620,290,1330,0,0,0,0,1,2,0,3,6,15,2,0.2,35,35,100,110,1,35,,,38,55,http://www.onthesnow.com/minnesota/andes-tower-hills-ski-area/ski-resort.html
